id,measurementTime,lotInfo,serialCounter,okNg,name,computerName,val1,val2,val3,val4,val5,val6TEST,val7,val8
3,4/15/2021 9:28,OU8122022,1,NG,MyName,MyPC,28.394,24.84,0.282,0.118,0.242,143.5702,1.787,1.61
4,4/15/2021 9:28,OU8122023,2,NG,MyName,MyPC,28.272,24.896,0.143,0.127,0.06,134.5881,1.756,1.239
5,4/15/2021 9:28,OU8122024,3,NG,MyName,MyPC,28.362,25.126,0.2,0.096,0.103,134.2312,1.736,1.287
6,4/15/2021 9:29,OU8122025,4,NG,MyName,MyPC,28.438,25.141,0.17,0.159,0.276,132.1972,1.779,1.396
7,4/15/2021 9:29,OU8122026,5,NG,MyName,MyPC,28.499,25.204,0.292,0.111,0.075,140.4471,1.701,1.565
8,4/15/2021 9:29,OU8122027,6,NG,MyName,MyPC,28.589,25.182,0.243,0.143,0.258,143.1931,1.779,1.404
9,4/15/2021 9:29,OU8122028,7,NG,MyName,MyPC,28.657,25.172,0.133,0.09,0.065,148.2425,1.762,1.552
10,4/15/2021 9:29,OU8122029,8,NG,MyName,MyPC,28.873,25.103,0.315,0.379,0.237,154.7887,1.765,1.712
11,4/15/2021 9:29,OU8122030,9,NG,MyName,MyPC,28.579,25.351,0.194,0.111,0.315,133.8011,1.656,1.436
12,4/15/2021 9:30,OU8122031,10,NG,MyName,MyPC,29.014,25.033,0.445,0.633,0.224,160.1479,1.699,1.516
13,4/15/2021 9:32,OU8122032,11,NG,MyName,MyPC,28.311,25.149,0.173,0.141,0.214,128.3758,1.724,1.287
14,4/15/2021 9:32,OU8122033,12,NG,MyName,MyPC,28.479,25.061,0.217,0.328,0.123,138.1292,1.706,1.361
15,4/15/2021 9:39,OU8122034,13,NG,MyName,MyPC,28.404,25.273,0.1,0.091,0.163,130.4235,1.655,1.414
16,4/15/2021 9:39,OU8122035,14,NG,MyName,MyPC,28.696,25.083,0.388,0.389,0.132,142.2529,1.751,1.358
17,4/15/2021 9:39,OU8122036,15,NG,MyName,MyPC,28.567,25.148,0.148,0.16,0.033,143.5376,1.75,1.51
18,4/15/2021 9:39,OU8122037,16,NG,MyName,MyPC,28.762,25.039,0.17,0.392,0.192,152.4538,1.79,1.58
19,4/15/2021 9:39,OU8122038,17,NG,MyName,MyPC,28.689,25.031,0.32,0.331,0.078,151.1389,1.72,1.321
20,4/15/2021 9:40,OU8122039,18,NG,MyName,MyPC,28.361,25.269,0.111,0.088,0.034,129.7341,1.638,1.32
23,4/15/2021 9:40,OU8122040,21,NG,MyName,MyPC,28.562,24.97,0.212,0.419,0.153,145.5311,1.762,1.551
24,4/15/2021 9:40,OU8122041,22,NG,MyName,MyPC,28.386,25.046,0.081,0.078,0.088,137.2451,1.785,1.631
25,4/15/2021 9:41,OU8122042,23,NG,MyName,MyPC,28.464,25.254,0.173,0.136,0.235,134.9629,1.718,1.463
26,4/15/2021 9:41,OU8122043,24,NG,MyName,MyPC,28.427,25.255,0.091,0.098,0.05,132.9026,1.654,1.542
28,4/15/2021 9:41,OU8122044,26,NG,MyName,MyPC,28.664,25.08,0.369,0.701,0.336,142.9516,1.765,1.326
30,4/15/2021 9:42,OU8122045,28,NG,MyName,MyPC,28.585,25.278,0.266,0.231,0.19,135.2943,1.79,1.343
31,4/15/2021 9:42,OU8122046,29,NG,MyName,MyPC,28.588,25.373,0.172,0.497,0.282,132.3185,1.733,1.286
32,4/15/2021 9:42,OU8122047,30,NG,MyName,MyPC,28.562,25.193,0.289,0.412,0.201,133.7484,1.757,1.299
33,4/15/2021 9:43,OU8122048,31,NG,MyName,MyPC,28.491,25.243,0.162,0.416,0.388,127.8221,1.711,1.326
34,4/15/2021 9:43,OU8122049,32,NG,MyName,MyPC,28.736,25.277,0.478,0.414,0.206,147.513,1.764,1.542
35,4/15/2021 9:43,OU8122050,33,NG,MyName,MyPC,28.787,25.149,0.309,0.509,0.317,146.7012,1.767,1.469
36,4/15/2021 9:43,OU8122051,34,NG,MyName,MyPC,29.065,25.019,0.313,0.56,0.407,161.3203,1.699,1.529
37,4/15/2021 9:43,OU8122052,35,NG,MyName,MyPC,28.792,25.196,0.144,0.086,0.229,147.4288,1.735,1.475
38,4/15/2021 9:44,OU8122053,36,NG,MyName,MyPC,28.623,25.12,0.358,0.519,0.206,140.5124,1.71,1.289
39,4/15/2021 9:44,OU8122054,37,NG,MyName,MyPC,28.847,24.928,0.47,0.497,0.26,157.4051,1.776,1.737
40,4/15/2021 9:44,OU8122055,38,NG,MyName,MyPC,28.227,25.054,0.173,0.141,0.207,128.5532,1.624,1.269
41,4/15/2021 9:44,OU8122056,39,NG,MyName,MyPC,28.192,25.044,0.158,0.217,0.05,131.469,1.748,1.351
43,4/15/2021 9:45,OU8122057,41,NG,MyName,MyPC,29.494,25.061,0.632,0.546,0.197,192.7002,1.741,1.717
44,4/15/2021 9:45,OU8122058,42,NG,MyName,MyPC,28.501,25.285,0.622,0.731,0.06,133.7596,1.701,1.444
45,4/15/2021 9:46,OU8122059,43,NG,MyName,MyPC,28.917,24.969,0.487,0.924,0.227,171.945,1.727,1.338
50,4/15/2021 9:48,OU8122060,48,NG,MyName,MyPC,29.277,25.435,0.281,0.553,0.076,160.153,1.733,1.663
